Generation;AvgFitness;MaxFitness;MinFitness;StdDevFitness;AvgStamina;MaxStamina;MinStamina;StdDevStamina;AvgSpeed;MaxSpeed;MinSpeed;StdDevSpeed;AvgEatNeed;MaxEatNeed;MinEatNeed;StdDevEatNeed;AvgFatSave;MaxFatSave;MinFatSave;StdDevFatSave
46;152,1900;153,5275;148,3064;1,4644;4,9623;5,0000;4,8098;0,0482;19,9022;20,0000;19,4995;0,1363;4,5705;4,8977;3,9740;0,1910;0,2500;0,5019;0,0000;0,1600
47;152,2918;153,5275;147,6129;1,1948;4,9657;5,0336;4,7746;0,0474;19,9114;20,0000;19,5452;0,1059;4,5975;4,8977;3,9740;0,1936;0,2429;0,5107;-0,0444;0,1580
48;152,6471;153,5275;150,4463;0,8218;4,9856;5,1987;4,8544;0,0549;19,9413;20,1369;19,6688;0,0927;4,5600;4,8977;3,8776;0,2633;0,2613;0,4966;0,0000;0,1561
49;152,5184;153,5275;150,5756;0,8702;4,9741;5,0287;4,9032;0,0331;19,9195;20,0000;19,6416;0,0940;4,5198;4,8979;3,8196;0,2934;0,2360;0,4887;0,0000;0,1454
0;10,2322;46,0025;-1,8035;8,7662;2,6396;4,9033;0,6635;1,1707;13,0183;19,9594;5,3443;4,2047;4,0214;5,8999;2,1116;1,0950;0,5322;0,9957;0,1153;0,2654
1;103,6696;128,3584;80,9593;13,7978;3,2028;5,0000;0,5313;1,3971;14,5948;19,9594;7,7409;3,5417;3,9010;6,0000;2,1116;1,0173;0,5362;1,0000;0,0598;0,2753
2;115,2806;138,2785;89,0294;14,4737;4,1523;5,0000;0,6823;1,0976;16,5431;20,0000;7,8827;2,9629;3,4938;5,8529;2,0000;1,0481;0,5859;1,0876;0,0000;0,2727
3;112,3378;139,7665;89,1603;15,8437;3,9830;5,0000;0,8884;1,0521;16,8034;20,0000;8,4163;2,6814;3,6328;5,5990;2,0000;0,9174;0,5861;1,0023;0,1708;0,2247
4;119,6005;143,0261;88,9064;14,7515;4,2106;5,0000;1,1862;0,9934;17,5146;20,0000;13,4381;1,7198;3,5941;5,8215;2,0000;0,9026;0,5684;1,0000;0,0633;0,2459
5;121,5399;143,0261;93,7244;12,7964;4,3953;5,0000;0,8260;0,8506;17,8267;20,0000;12,7460;1,7180;3,7221;6,0000;2,0000;0,9859;0,4719;1,0000;0,0633;0,2327
6;122,9373;143,0261;93,8329;12,5540;4,3941;5,0000;1,6383;0,8167;17,4306;20,0000;13,2574;1,5090;3,3244;4,1384;2,2789;0,5164;0,5012;1,0000;0,0633;0,2391
7;123,2528;147,3418;94,4817;13,7137;4,6243;5,0000;2,2273;0,5022;17,4312;20,0000;14,1325;1,5252;3,5256;4,3301;2,2766;0,4403;0,4482;1,0000;0,0000;0,2506
8;129,1588;149,9809;101,6261;13,4764;4,7105;5,0000;3,6573;0,3010;17,9322;20,0000;12,7526;1,6808;3,5349;4,5421;2,1640;0,4938;0,3972;1,0000;0,0511;0,2383
9;132,7814;149,9809;103,1693;12,5633;4,7845;5,0000;4,4076;0,1360;17,9649;20,0000;11,5262;2,3502;3,5429;4,8067;2,2616;0,5024;0,4008;1,0000;-0,1751;0,2675
10;134,4464;149,9809;99,1829;12,6256;4,7841;5,0000;4,5520;0,1257;17,9416;20,0000;10,4090;2,3360;3,5914;4,8687;2,0570;0,5199;0,3554;1,1279;0,0000;0,2024
11;136,5022;149,9809;110,9756;11,7065;4,8036;5,0000;4,5046;0,1168;18,0807;20,0000;7,5570;2,3096;3,6703;4,8687;2,2750;0,5552;0,3630;0,8925;0,0000;0,2018
12;135,0793;149,9809;107,8867;11,2073;4,7964;5,0000;4,4359;0,1381;17,9619;20,0000;11,9807;1,9004;3,7319;4,8687;2,8728;0,4775;0,4135;0,9473;-0,0495;0,2368
13;138,1760;153,0953;111,1004;10,5074;4,8577;5,1378;4,5898;0,1131;18,0578;20,0646;8,2147;2,4184;3,8449;4,8694;2,9860;0,4728;0,3801;0,8601;0,0000;0,2476
14;139,3930;153,3866;109,4331;11,5387;4,8835;5,0000;4,6934;0,0883;18,6710;20,0646;14,1221;1,6273;3,9230;4,9361;3,1118;0,4454;0,3944;1,0277;-0,1399;0,3036
15;140,6736;153,3866;112,3045;11,2656;4,9078;5,0000;4,6829;0,0932;18,5167;20,0646;14,1529;1,7970;3,9423;5,5235;2,7336;0,5217;0,3801;1,0277;0,0000;0,2897
16;142,2370;153,3866;121,8109;9,2628;4,9159;5,0000;4,7199;0,0762;18,5309;20,0000;14,1543;1,7133;3,9157;5,5212;2,0579;0,5076;0,4075;1,0277;0,0000;0,2901
17;143,7657;153,3866;129,5232;7,8011;4,9210;5,0431;4,6544;0,0874;18,6158;20,0000;15,1653;1,5910;3,9493;4,6720;2,4399;0,3984;0,4850;1,0277;0,0000;0,3073
18;142,5785;153,3866;117,2208;9,9697;4,8950;5,0000;4,5665;0,1230;18,4459;20,0000;14,3642;1,9127;4,0003;4,7547;2,7569;0,3922;0,4925;1,0000;0,0000;0,3184
19;143,3513;153,3866;125,1033;9,2919;4,9016;5,1209;4,5204;0,1383;18,7855;20,0000;14,9569;1,5643;4,1564;4,9240;2,8645;0,3744;0,5094;1,0000;0,0242;0,2909
20;146,4052;153,3866;129,5775;6,6495;4,8884;5,1223;4,4327;0,1489;19,3619;20,0000;16,7569;1,0170;4,2176;5,2283;3,0278;0,4109;0,5381;1,0000;0,0000;0,2171
