era;generation;difficultyMode;temp;wet;windStrength;eatPredator;eatHerbivore;agentIndex;score;hp;stamina;speed;tempResist;wetResist;fatSave;eatNeed;speedN;staminaN;hpLoseN;eatN;abilitiesBonus;hpPenalty;eatPenalty
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;35;4,889648;100;13,84548;0,9716198;74,25861;61,57869;0,9886143;2,639658;0,194324;0,6922742;0;0;5,889648;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;36;38,81433;100;18,89143;4,48771;-12,53108;88,16997;0,2142504;4,326189;0,8975421;0,9445713;0;0;39,81433;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;37;4,140505;100;8,21207;2,039861;-32,0005;76,88205;0,006270647;4,913951;0,4079722;0,4106035;0;0;5,140505;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;38;5,979053;100;10,44151;2,246907;-4,290821;20,92628;0,6113787;5,484367;0,4493813;0,5220754;0;0;6,979053;1;0
0;0;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;39;3,87206;100;10,39641;1,35969;-2,619335;74,15501;0,9543843;5,09248;0,2719381;0,5198204;0;0;4,87206;1;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;0;122,787;-24,3178;18,65443;4,731973;8,702404;23,95283;0,2011485;4,249265;0,9463946;0,9327213;1;0;42,87254;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;1;120,1903;-8792,258;17,84446;4,778267;62,65106;38,17386;0,8069319;3,218793;0,9556534;0,8922231;1;0;40,27588;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;2;119,8155;-590,314;19,34802;4,379;-14,32147;72,7075;0,7387934;5,597239;0,8758;0,9674008;1;0;39,90102;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;3;119,7288;-3464,327;18,89143;4,48771;-12,53108;88,16997;0,2142504;4,326189;0,8975421;0,9445713;1;0;39,81433;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;4;117,3049;-196379,6;16,75068;4,865866;78,13143;61,70572;0,5694768;4,556121;0,9731731;0,8375338;1;0;37,3904;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;5;94,62897;-851,9238;15,12748;2,940213;-15,97357;74,13881;0,5745746;4,232751;0,5880427;0,7563741;1;0;14,7145;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;6;116,5874;-1194,611;16,43456;4,896458;-18,17624;71,54846;0,6415164;2;0,9792916;0,8217279;1;0;36,67294;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;7;94,48044;-15398,18;15,74336;2,76088;52,63482;95,68237;0,4313051;6;0,5521759;0,7871682;1;0;14,56597;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;8;122,252;-9317,305;17,45675;5;62,93977;54,50804;1;5,496642;1;0,8728374;1;0;42,33756;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;9;99,37729;-3321811;14,18568;3,874846;92,27051;59,70715;0,3650177;2;0,7749692;0,7092838;1;0;19,46282;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;10;93,76407;-76216,06;13,16544;3,279283;70,33065;100,1634;0,339086;4,660142;0,6558565;0,658272;1;0;13,84961;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;11;95,88599;-308515,4;13,88251;3,456392;80,38896;65,56264;0,3745347;4,700217;0,6912783;0,6941255;1;0;15,97153;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;12;89,12543;-1159,3;12,65198;2,387992;28,43019;83,49625;0,5348601;4,698545;0,4775985;0,6325992;1;0;9,210972;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;13;122,787;-24,31775;18,65443;4,731973;8,702404;23,95283;0,2011485;4,249265;0,9463946;0,9327213;1;0;42,87254;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;14;122,787;-24,3178;18,65443;4,731973;8,702404;23,95283;0,2011485;4,249265;0,9463946;0,9327213;1;0;42,87254;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;15;125,1042;-9166,922;18,23941;4,967325;58,10788;91,07079;0,3658234;4,304422;0,9934649;0,9119704;1;0;45,18977;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;16;128,7457;25,26055;18,71967;4,424524;3,308624;68,20289;0,5323075;4,522748;0,8849047;0,9359837;0,7473945;0;38,15958;9,413863;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;17;89,40171;-548,0009;11,27242;2,806765;-15,14283;55,57511;1;3,553247;0,561353;0,5636212;1;0;9,487247;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;18;106,2523;-232,5038;12,71005;5;39,17302;20,20853;0,8018771;4,775475;1;0,6355027;1;0;26,33781;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;19;87,43204;-34670,97;9,091995;2,770111;-16,59064;100;0,3348048;4,955675;0,5540221;0,4545998;1;0;7,517577;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;20;90,31317;-5095125;10,09329;3,330881;-60;99,26324;0;4,570787;0,6661763;0,5046645;1;0;10,39871;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;21;107,5371;-55763,81;13,21523;4,992786;71,84275;59,26413;0,4374411;4,369917;0,9985573;0,6607615;1;0;27,62268;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;22;107,5371;-55763,91;13,21523;4,992786;71,84276;59,26413;0,4374411;4,369917;0,9985573;0,6607615;1;0;27,62268;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;23;96,955;-28917,55;9,530516;4,706359;68,56762;39,40428;0,9310313;3,013135;0,9412719;0,4765258;1;0;17,04054;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;24;87,4362;-34941,07;13,21728;1,740172;69,51095;39,89962;0,8368944;3,062185;0,3480344;0,660864;1;0;7,521736;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;25;107,3732;-134285,1;15,93274;4,298528;76,22787;72,06156;0,8690687;6;0,8597056;0,7966372;1;0;27,45877;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;26;114,9046;-5782,415;18,11884;4,357955;29,33289;91,2314;1;6;0,871591;0,9059421;1;0;34,99013;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;27;99,51264;-696735,3;15,17647;3,644475;-50,08089;28,32047;0,6368195;3,286066;0,7288951;0,7588233;1;0;19,59818;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;28;110,0353;-665943,2;15,1093;4,735719;-49,85522;37,42062;1;2,480029;0,9471439;0,7554652;1;0;30,12086;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;29;141,8392;30,83559;20;4,7702;3,489559;67,75719;1;4,292647;0,9540399;1;0,6916441;0;49,80323;7,964007;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;30;102,5962;-15,1879;12,8495;4,591523;-4,022274;66,9426;1;4,972668;0,9183046;0,6424748;1;0;22,68171;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;31;108,0563;-8462482;16,63963;4,183235;96,94608;60,79971;0,7887309;2,947459;0,836647;0,8319815;1;0;28,14182;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;32;112,306;-5065873;16,52131;4,564415;-60;60,60867;0,4258817;3,266242;0,9128831;0,8260654;1;0;32,39154;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;33;112,6065;-163969;18,77544;4,023966;-42,46164;94,9127;0,1599019;4,337226;0,8047932;0,9387721;1;0;32,69201;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;34;100,8932;-34046,14;18,58654;2,962145;-10,09766;100;0,05831295;3,994449;0,592429;0,9293269;1;0;20,97879;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;35;110,8625;-1,55869E+07;17,62328;4,174953;100;61,5822;0,9886241;3,156711;0,8349906;0,8811641;1;0;30,94803;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;36;105,4143;-5066122;15,09704;4,322422;-60;20;0,7627697;4,749214;0,8644844;0,7548518;1;0;25,49985;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;37;87,98962;-111809,5;8,753538;3,033597;73,51246;100;0,6107466;4,477153;0,6067194;0,4376769;1;0;8,075159;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;38;87,38261;-116335,1;7,398843;3,176908;75,48669;80,40874;0,5792473;4,180838;0,6353816;0,3699421;1;0;7,46815;20,08554;0
0;1;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;39;93,33082;-7384,311;18,32999;1,908689;-7,338172;92,35421;0,2766942;4,070024;0,3817379;0,9164994;1;0;13,41636;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;0;141,8392;30,83559;20;4,7702;3,489559;67,75719;1;4,292647;0,9540399;1;0,6916441;0;49,80323;7,964007;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;1;128,7457;25,26055;18,71967;4,424524;3,308624;68,20289;0,5323075;4,522748;0,8849047;0,9359837;0,7473945;0;38,15958;9,413863;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;2;125,1042;-9166,922;18,23941;4,967325;58,10788;91,07079;0,3658234;4,304422;0,9934649;0,9119704;1;0;45,18977;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;3;122,787;-24,3178;18,65443;4,731973;8,702404;23,95283;0,2011485;4,249265;0,9463946;0,9327213;1;0;42,87254;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;4;122,787;-24,31775;18,65443;4,731973;8,702404;23,95283;0,2011485;4,249265;0,9463946;0,9327213;1;0;42,87254;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;5;88,26929;-31,15074;18,74287;0,6213804;4,154038;24,00646;0,2526707;4,170842;0,1242761;0,9371435;1;0;8,354825;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;6;144,0896;86,02564;18,20136;5;9,06014;36,9174;0,2599811;4,458141;1;0,9100679;0,1397436;0;45,6104;1,520791;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;7;109,188;-421,8298;18,76478;3,750514;-10,60914;20;0,5296932;3,089832;0,7501027;0,9382389;1;0;29,27352;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;8;93,55168;-1690020;6,931916;4,799027;-54,51127;52,79114;0,3403542;3,122073;0,9598055;0,3465958;1;0;13,63722;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;9;89,40171;-548,0009;11,27242;2,806765;-15,14283;55,57511;1;3,553247;0,561353;0,5636212;1;0;9,487247;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;10;89,40171;-548,0009;11,27242;2,806765;-15,14283;55,57511;1;3,553247;0,561353;0,5636212;1;0;9,487247;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;11;109,7005;-13725,26;13,94038;5;-30,47865;38,50756;0,8378419;2,735258;1;0,6970192;1;0;29,786;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;12;106,7646;-1,558689E+07;14,04367;4,714761;100;55,22872;0,484538;5,059037;0,9429522;0,7021836;1;0;26,85015;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;13;91,87253;-448,4319;12,96975;2,961077;39,44476;78,52814;0,5427758;4,48601;0,5922154;0,6484874;1;0;11,95806;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;14;90,39709;-1008,305;14,38296;2,278559;48,45602;79,73166;0,5243928;4,881931;0,4557118;0,719148;1;0;10,48263;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;15;115,1184;-53,69612;17,33606;4,568878;-7,176901;63,50398;0,2711403;4,182109;0,9137756;0,8668029;1;0;35,2039;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;16;100,023;-65772,45;11,78018;4,557814;-38,28527;63,75029;0,7478871;5,476473;0,9115627;0,589009;1;0;20,10852;20,08554;0
0;2;easyMode;17,19027;47,84244;1,793872;6,454951;4,886666;17;122,787;-24,3178;18,65443;4,731973;8,702404;23,95283;0,2011485;4,249266;0,9463946;0,9327213;1;0;42,87254;20,08554;0
